anio_tri,anio,mes,personal,claro,nextel,movistar,otros,periodo,trimestre
20121,2012,3,-17,19,0,-2,0,Mar-12,1
20122,2012,4,3508,-1134,-189,-2185,0,Apr-12,2
20122,2012,5,1253,4792,-853,-5192,0,May-12,2
20122,2012,6,3263,-1248,-848,-1167,0,Jun-12,2
20123,2012,7,5554,-3847,-1105,-602,0,Jul-12,3
20123,2012,8,3131,-1622,-1265,-244,0,Aug-12,3
20123,2012,9,3701,568,-1637,-2632,0,Sep-12,3
20124,2012,10,3894,1870,-1768,-3996,0,Oct-12,4
20124,2012,11,2358,1124,-1326,-2156,0,Nov-12,4
20124,2012,12,671,2452,-1478,-1645,0,Dec-12,4
20131,2013,1,1186,3149,-1267,-3068,0,Jan-13,1
20131,2013,2,-142,1282,-806,-334,0,Feb-13,1
20131,2013,3,173,778,-1042,91,0,Mar-13,1
20132,2013,6,-1442,2990,-1162,-386,0,Jun-13,2
20132,2013,5,-2078,3972,-1427,-467,0,May-13,2
20132,2013,4,-1637,3847,-1548,-662,0,Apr-13,2
20133,2013,7,-2748,5868,-1695,-1425,0,Jul-13,3
20133,2013,8,-4255,6698,-1451,-992,0,Aug-13,3
20133,2013,9,-1032,6026,-1835,-3159,0,Sep-13,3
20134,2013,10,-335,4638,-1567,-2736,0,Oct-13,4
20134,2013,11,-715,4705,-1382,-2608,0,Nov-13,4
20134,2013,12,2319,3903,-1333,-4889,0,Dec-13,4
20141,2014,1,-200,6135,-1090,-4845,0,Jan-14,1
20141,2014,2,-2152,8757,-1074,-5531,0,Feb-14,1
20141,2014,3,-2314,10604,-1252,-7038,0,Mar-14,1
20142,2014,4,3252,7131,-1551,-8832,0,Apr-14,2
20142,2014,5,-846,8606,-1661,-6099,0,May-14,2
20142,2014,6,-8059,18958,-2321,-8578,0,Jun-14,2
20143,2014,8,-5095,16506,-1859,-9552,0,Aug-14,3
20143,2014,9,-807,11581,-2018,-8756,0,Sep-14,3
20143,2014,7,-8914,16039,-1992,-5133,0,Jul-14,3
20144,2014,10,5607,8777,-2051,-12333,0,Oct-14,4
20144,2014,11,-1780,11769,-1235,-8754,0,Nov-14,4
20144,2014,12,4643,12160,-1350,-15453,0,Dec-14,4
20151,2015,1,3041,15835,-1465,-17411,0,Jan-15,1
20151,2015,2,-3283,20246,-1096,-15867,0,Feb-15,1
20151,2015,3,-3860,22138,-1311,-16967,0,Mar-15,1
20152,2015,4,-8856,33859,-1574,-23429,0,Apr-15,2
20152,2015,5,-7273,35342,-1384,-26685,0,May-15,2
20152,2015,6,340,38116,-2136,-36320,0,Jun-15,2
20153,2015,7,-5374,34587,-1975,-27238,0,Jul-15,3
20153,2015,8,-5840,30912,-1888,-23184,0,Aug-15,3
20153,2015,9,-15094,37873,-1921,-20858,0,Sep-15,3
20154,2015,12,1467,11232,-1917,-10782,0,Dec-15,4
20154,2015,11,-8894,12088,-2053,-1141,0,Nov-15,4
20154,2015,10,-14975,29740,-2186,-12579,0,Oct-15,4
20161,2016,1,-941,9045,-1607,-6497,0,Jan-16,1
20161,2016,2,-3112,8746,-1843,-3791,0,Feb-16,1
20161,2016,3,-5977,2649,-2443,5771,0,Mar-16,1
20162,2016,4,-11871,7300,-2956,7527,0,Apr-16,2
20162,2016,5,-10221,4389,-3014,8846,0,May-16,2
20162,2016,6,-6568,-243,-3496,10307,0,Jun-16,2
20163,2016,7,-7617,936,-3872,10553,0,Jul-16,3
20163,2016,8,-7011,1891,-4697,9817,0,Aug-16,3
20163,2016,9,4031,7003,-4321,-6713,0,Sep-16,3
20164,2016,10,2337,10836,-4964,-8209,0,Oct-16,4
20164,2016,11,-402,1645,-4582,3339,0,Nov-16,4
20164,2016,12,-453,5814,-4395,-966,0,Dec-16,4
20171,2017,2,-7817,7210,-2369,2976,0,Feb-17,1
20171,2017,3,-15904,6519,-2801,12186,0,Mar-17,1
20171,2017,1,-44,10231,-3394,-6793,0,Jan-17,1
20172,2017,5,-18568,1028,-3005,20545,0,May-17,2
20172,2017,6,-12652,-7104,-3059,22815,0,Jun-17,2
20172,2017,4,-18668,2704,-2540,18504,0,Apr-17,2
20173,2017,7,-15445,-4709,-2820,22974,0,Jul-17,3
20173,2017,8,-11738,-5405,-3247,20390,0,Aug-17,3
20173,2017,9,-9133,-8596,-2480,20209,0,Sep-17,3
20174,2017,10,-4870,-8320,-2834,16024,0,Oct-17,4
20174,2017,11,-1265,-8424,-2501,12190,0,Nov-17,4
20174,2017,12,-1743,-5784,-2041,9568,0,Dec-17,4
20181,2018,1,156,1868,0,-2024,0,Jan-18,1
20181,2018,2,1463,310,0,-1773,0,Feb-18,1
20181,2018,3,-1849,4674,0,-2825,0,Mar-18,1
20182,2018,4,3344,1259,0,-4603,0,Apr-18,2
20182,2018,5,13904,-2548,0,-11356,0,May-18,2
20182,2018,6,17019,-5019,0,-12000,0,Jun-18,2
20183,2018,8,8202,-2546,0,-5656,0,Aug-18,3
20183,2018,9,7798,-3796,0,-4002,0,Sep-18,3
20183,2018,7,13149,-6045,0,-7104,0,Jul-18,3
20184,2018,10,6195,-1349,0,-4846,0,Oct-18,4
20184,2018,11,18313,-4153,0,-14160,0,Nov-18,4
20184,2018,12,11317,-420,0,-10897,0,Dec-18,4
20191,2019,1,20086,10198,0,-30284,0,Jan-19,1
20191,2019,2,22486,2526,0,-25012,0,Feb-19,1
20191,2019,3,22687,-5927,0,-16760,0,Mar-19,1
20192,2019,5,13847,-36064,0,22217,0,May-19,2
20192,2019,4,31071,-23337,0,-7734,0,Apr-19,2
20192,2019,6,892,-42345,0,41453,0,Jun-19,2
20193,2019,7,-13083,-27082,0,40165,0,Jul-19,3
20193,2019,8,740,-12386,0,11646,0,Aug-19,3
20193,2019,9,39279,-37923,0,-1356,0,Sep-19,3
20194,2019,11,41931,-3890,0,-38041,0,Nov-19,4
20194,2019,12,37242,26325,0,-63567,0,Dec-19,4
20194,2019,10,40098,-20858,0,-19240,0,Oct-19,4
20201,2020,3,13983,22278,0,-36261,0,Mar-20,1
20201,2020,2,11049,19569,0,-30618,0,Feb-20,1
20201,2020,1,9681,36449,0,-46130,0,Jan-20,1
20202,2020,4,-3258,20440,0,-17182,0,Apr-20,2
20202,2020,5,-9631,23830,0,-14199,0,May-20,2
20202,2020,6,7328,10419,0,-17747,0,Jun-20,2
20203,2020,7,-3189,8284,0,-5095,0,Jul-20,3
20203,2020,8,14229,-23597,0,9368,0,Aug-20,3
20203,2020,9,26117,-32870,0,6753,0,Sep-20,3
20204,2020,10,14078,-29907,0,15829,0,Oct-20,4
20204,2020,11,4652,-18960,0,14308,0,Nov-20,4
20204,2020,12,1713,-19008,0,17295,0,Dec-20,4
20211,2021,3,2881,6419,0,-9300,0,Mar-21,1
20211,2021,1,6755,7394,0,-14149,0,Jan-21,1
20211,2021,2,-10571,9235,0,1336,0,Feb-21,1
20212,2021,6,4161,7679,0,-11840,0,Jun-21,2
20212,2021,5,10855,-1128,0,-9727,0,May-21,2
20212,2021,4,1218,7828,0,-9046,0,Apr-21,2
20213,2021,7,-1825,13683,0,-11858,0,Jul-21,3
20213,2021,8,-5993,1369,0,4624,0,Aug-21,3
20213,2021,9,-248,13448,0,-13200,0,Sep-21,3
20214,2021,10,3093,10566,0,-13659,0,Oct-21,4
20214,2021,11,6372,12306,0,-18678,0,Nov-21,4
20214,2021,12,591,9875,0,-10466,0,Dec-21,4
20221,2022,3,6951,4222,0,-11182,9,Mar-22,1
20221,2022,1,15316,-5775,0,-9541,0,Jan-22,1
20221,2022,2,8433,7222,0,-15655,0,Feb-22,1
20222,2022,5,-4594,22626,0,-18081,49,May-22,2
20222,2022,6,-3012,20311,0,-17348,49,Jun-22,2
20222,2022,4,1238,19168,0,-20430,24,Apr-22,2
20223,2022,8,996,19548,0,-20585,41,Aug-22,3
20223,2022,9,-2209,18050,0,-15982,141,Sep-22,3
20223,2022,7,2263,7363,0,-9653,27,Jul-22,3
20224,2022,10,-1605,987,0,469,149,Oct-22,4
